"","V1","V2","V3","V4","V5","V6"
"","Obs","CS-LB","CS-UB","DID","DistDID","CiC"
"","0.0226730971783358","-0.0289443501225647","0.00305243007565438","--","-0.0118436313700012","-0.0289443501225647"
"resultsdeltaa1","0.126559121902545","-0.0467064614349813","0.0247831999827376","--","0.00922204766076168","-0.0147096812367623"
"resultsdeltae1","0.14923221908088","-0.0436540313593269","-0.00416115013982707","--","-0.00262158370923954","-0.043654031359327"
"resultsdeltaa2","0.166140029935141","-0.00928885772396298","0.0230600882940478","--","0.0171188678707169","0.0227079224742561"
"resultsdeltae2","0.188813127113476","-0.00623642764830856","-0.00588426182851687","--","0.00527523650071565","-0.00623642764830862"
"resultsATT","25.8321792624136","0.122849262413549","0.559149262413552","0.525523579790654","-0.101070737586451","0.559149262413552"
"resultsGTT","16.88500992","0.0621954600000052","0.363986140000002","--","0.25065382","0.363986140000002"
"resultsMCGTT","--","0.0802994975160935","0.365483714970604","--","-0.0660641283661286","0.365483714970604"
"resultsICGTT","--","-0.283686642483908","0.303288254970599","--","-0.316717948366129","0.00149757497060271"
"resultsEQTT01","3.629","1.586","1.679","--","1.901","1.679"
"resultsEQTT025","6.1504","0.951200000000001","1.0612","--","1.06","1.0612"
"resultsEQTT05","7.5748","0.600199999999999","0.9052","--","1.06","0.9052"
"resultsEQTT10","8.4127","0.322699999999999","0.600499999999999","--","0.3971","0.600499999999999"
"resultsEQTT25","9.94888","0.155559999999999","0.441039999999999","--","0.166599999999999","0.441039999999999"
"resultsEQTT50","13.21492","0.123200000000001","0.406020000000002","--","0.139520000000001","0.406020000000002"
"resultsGQTT01","2.097","1.388","1.4426","--","1.5258","1.4426"
"resultsMCTT01","--","0.916462386332323","0.970201984017636","--","1.0984836042987","0.970201984017636"
"resultsICTT01","--","-0.526137613667677","-0.417798015982364","--","-0.427316395701295","-0.472398015982364"
"resultsGQTT025","4.580192","1.258208","1.336448","--","1.43632","1.336448"
"resultsMCTT025","--","0.708356957336109","0.790273762747139","--","0.789380124869928","0.790273762747139"
"resultsICTT025","--","-0.628091042663891","-0.467934237252862","--","-0.646939875130073","-0.546174237252862"
"resultsGQTT05","6.379864","0.849767999999999","1.044328","--","1.01128","1.044328"
"resultsMCTT05","--","0.505517554628504","0.762403349632993","--","0.633707777578286","0.762403349632993"
"resultsICTT05","--","-0.538810445371496","-0.0873646503670058","--","-0.377572222421715","-0.281924650367007"
"resultsGQTT10","7.6185","0.536302","0.804642","--","0.64443","0.804642"
"resultsMCTT10","--","0.292235542691406","0.543809864847195","--","0.359611819035506","0.543809864847195"
"resultsICTT10","--","-0.512406457308594","0.00750786484719468","--","-0.284818180964494","-0.260832135152806"
"resultsGQTT25","8.99257984","0.237130560000001","0.514168320000001","--","0.290071040000001","0.514168320000001"
"resultsMCTT25","--","0.140607356798996","0.398646622799108","--","0.150586176669534","0.398646622799108"
"resultsICTT25","--","-0.373560963201005","0.161516062799108","--","-0.139484863330467","-0.115521697200893"
"resultsGQTT50","11.00194624","0.166643679999998","0.458044399999999","--","0.188928559999999","0.458044399999999"
"resultsMCTT50","--","0.102568897637519","0.338027790736896","--","0.116155946415477","0.338027790736896"
"resultsICTT50","--","-0.355475502362479","0.171384110736897","--","-0.0727726135845224","-0.120016609263103"
"resultsACF","25.8321792624136","25.27303","25.70933","25.3066556826229","25.93325","25.3086707035362"
"resultsQTT01","6.01","1.06","1.06","--","1.39","--"
"resultsQTT025","8.75","0","0.5","--","0.35","--"
"resultsQTT05","9","0.25","0.75","--","0.25","--"
"resultsQTT10","9.62","-0.279999999999999","0","--","-0.209999999999999","--"
"resultsQTT25","12.75","0.25","0.25","--","0.25","--"
"resultsQTT50","20.46","-0.0399999999999991","0.260000000000002","--","-0.0399999999999991","--"
"resultsQTT75","34.24","0.0399999999999991","0.100000000000001","--","0.579999999999998","--"
"resultsQTT90","50","0","0","--","1.92","--"
